time,E_pot,E_kin,T
0.0,-1164.5321094723365,771.8528625541196,2.0100334962346866
0.04,-1151.8585959462855,782.245475361221,2.037097592086513
0.08,-975.7810665015246,637.4772708764566,1.6600970595741058
0.12,-901.6395370416371,645.9311968005309,1.6821124916680492
0.16,-927.9718554336882,647.9657791662152,1.687410883245352
0.2,-911.80478800905,692.2708495101901,1.8027886705994536
0.24,-917.0653956619606,697.0087187103702,1.8151268716415891
0.28,-900.2043427520905,719.6372478769099,1.8740553330127863
0.32,-834.3329816890262,719.1232481135448,1.8727167919623564
0.36,-876.9455364397361,732.8217793503675,1.908390050391582
0.4,-836.7342752526915,702.971785394459,1.8306556911314036
0.44,-851.1071055454872,730.4613839671049,1.9022431874143357
0.48,-836.1934118306646,719.9964164438329,1.8749906678224815
0.52,-830.0555117570948,721.4596738255016,1.878801233920577
0.56,-828.797853151204,721.9998961868832,1.880208062986675
0.6,-821.0629185822331,718.0048535385906,1.8698043060900797
0.64,-826.5083995998111,680.5197561996806,1.772186865103335
0.68,-826.3159747874975,704.5242538279597,1.8346985776769784
0.72,-811.309964650355,683.4451659290323,1.779805119606855
0.76,-814.9544139351947,686.9592380882546,1.7889563491881628
0.8,-854.3250947214029,767.7093146795612,1.999243006978024
0.84,-804.9957238087318,725.0969797397552,1.8882733847389457
0.88,-772.0342834318956,705.8238777718626,1.8380830150308922
0.92,-794.9406813714422,727.5669530479317,1.8947056068956556
0.96,-812.9586704008125,735.292057382042,1.9148230660990677
1.0,-799.0676930381778,718.0863159757995,1.8700164478536445
1.04,-800.0301794301837,714.5964476585859,1.860928249110901
1.08,-839.5673160661759,744.1327492876832,1.9378457012700083
1.12,-815.5915811389217,695.8037266115971,1.8119888713843675
1.16,-827.1250692423022,651.9695896599281,1.6978374730727295
1.2,-818.2536492712859,684.1070493261558,1.781528774286864
1.24,-781.3192891241033,683.4360720831135,1.7797814377164414
1.28,-798.3039661415002,712.4917144262545,1.8554471729850377
1.32,-803.3501616395772,732.9986418478388,1.9088506298120802
1.36,-802.7491895229853,739.2776549748596,1.9252022264970303
1.4000000000000001,-786.3123773405157,722.6405826665647,1.8818765173608456
1.44,-763.1421929624414,716.5120879830263,1.865916895789131
1.48,-785.5613605036694,774.1811027313674,2.0160966216962692
1.52,-766.3056101760588,774.2855570817557,2.0163686382337387
1.56,-771.8400573520563,742.9201555961513,1.9346879051983106
