time,E_pot,E_kin,T
0.0,-1164.5074313427822,961.2932896174018,2.503367941711984
0.04,-1135.30825570989,936.3414579929955,2.438389213523426
0.08,-908.1488706883249,716.9806522400929,1.8671371152085754
0.12,-877.1816121746929,753.6770926173865,1.962700762024444
0.16,-873.3889485791083,790.8185864694163,2.059423402264105
0.2,-856.6250729651758,830.7160404052083,2.1633230218885635
0.24,-893.2484440166021,865.8997495257127,2.2549472643898767
0.28,-877.9326473176534,829.7811645829154,2.1608884494346756
0.32,-842.1021529872744,869.9267767062388,2.2654343143391635
0.36,-827.5797321078933,860.7738487459014,2.2415985644424516
0.4,-803.745581426249,879.2935099680697,2.2898268488751814
0.44,-810.52010536837,904.4878841811005,2.3554371983882825
0.48,-799.9840536812119,944.0290568424011,2.458409002193753
0.52,-787.1472632507814,936.0882403682494,2.4377297926256496
0.56,-745.7827261921348,923.8904234943814,2.4059646445166183
0.6,-768.0072361685584,928.264227076416,2.4173547580115
0.64,-795.0805292605351,952.2235773903415,2.479748899454014
0.68,-775.8816644225215,942.6493756572722,2.454816082440813
0.72,-781.2468003226695,917.4923616229461,2.3893030250597556
0.76,-779.1808815928039,964.5351476312962,2.511810280289834
0.8,-737.0769759237699,954.8540670475386,2.4865991329362984
0.84,-787.3819898186857,976.4552403188056,2.542852188330223
0.88,-758.7937958002535,946.4756354817604,2.464780300733751
0.92,-756.4180429089926,924.3814082373483,2.4072432506180945
0.96,-767.3581026377364,882.2980580533879,2.2976511928473644
1.0,-747.7926523623134,878.8019442882683,2.2885467299173654
1.04,-728.5380169612745,885.0085743791162,2.304709829112282
1.08,-731.7298126219869,890.0533602216852,2.317847292243972
1.12,-724.7249145145121,873.3790706715489,2.2744246632071587
1.16,-692.8179451164342,874.7264939641682,2.277933578031688
1.2,-710.3027089230123,932.2083693334439,2.4276259618058433
1.24,-695.0939620143145,926.7135442430194,2.4133165214661965
1.28,-680.2323132797028,925.24301164964,2.409487009504271
1.32,-712.2753650662476,988.3892433966021,2.5739303213453177
